Requirement	요구사항
Responsibility	책임
Review	검토
Approve	승인
Copyright	저작권
License	라이선스
supply chain	공급망
open source	오픈소스
Conformance	적합성
Introduction	소개
Definition	정의
artifacts	결과물
organization	조직
Disclaimer	면책
policy	정책
process	프로세스
flexibility	유연성
OpenChain Conforming	OpenChain 준수
program	프로그램
Identified License	식별된 라이선스
Supplied Software	공급 대상 소프트웨어
Distributed Compliance Artifacts	배포할 Compliance 결과물
copyright notice	저작권 고지
modification notifications	수정 내용 고지
attribution notices	저작자 고지
Liaison	연락담당자
product	제품
Software Staff	Software 공급담당자
Rationale	이유
Training	교육
project	프로젝트
licensing	라이선싱
test	테스트
procedure	절차
FOSS Compliance Role	FOSS Compliance 담당자
documented procedure	문서화된 절차
evidence	증거
inventory	목록
Binary Form	바이너리 형태
source form	소스 형태
source code	소스 코드
build	빌드
script	스크립트
written offer	서면 청약
Contribution	기여
Community	커뮤니티
Specification	설명서
obligation	의무
restriction	제한
right	권리
use case	사용 사례
affirm	확약한다
Version	버전
Disclaimer	면책
Software	소프트웨어
Engineer	엔지니어
Slide	슬라이드
Online	온라인
email	이메일
Contents	목차
downstream	하위
upstream	상위
standard	표준적
Vision	비전
Mission	사명
release	배포
Goal	목표
Engineer	엔지니어
